covariate	slope	p_value
Intercept	-0.9934454696464797	0.0
Number iHS data points	-0.30534674817870966	3.3306690738754696e-16
Regulatory density (ChIP-seq)	-0.0016687624825271615	0.9781680346126834
Regulatory density in immune cells (ChIP-seq)	0.09188977463441536	0.18904067381371437
Regulatory density in testis (ChIP-seq)	-0.5102915671906142	0.0
Coding density	0.07508231307002776	0.27890339822752264
Density of conserved elements	-0.030438951056828402	0.49740480527921815
GC-content	-0.034974522227002494	0.6938920465666693
Gene expression	-0.12251710961171094	0.04691515569524274
Gene expression in testis	0.13670533991859896	0.0012482377234145359
Gene expression in immune cells	0.19950267482440995	0.00039572598036763384
Gene length	-0.048074670164742817	0.17067232110792674
Gene number	0.009118905100688123	0.9012182056455718
Number PPIs	-0.04362861979190294	0.15589155158963575
Recombination rate	-1.5600376881147353	0.0
Regulatory density (DNaseI)	0.06181188297840936	0.5666859916116251
Distance to VIPs	-0.08960981637132097	0.004144791560390382
