covariate	slope	p_value
Intercept	-1.6609245212486246	0.0
Number iHS data points	0.33052092493174456	0.0
Regulatory density (ChIP-seq)	0.7447306985877259	3.064064557634083e-10
Regulatory density in immune cells (ChIP-seq)	-0.07974934499146706	0.3947853296705949
Regulatory density in testis (ChIP-seq)	-0.8626481471831873	0.0
Coding density	0.588582972626345	3.77316983213305e-08
Density of conserved elements	0.3368882236058623	2.7019386727999972e-11
GC-content	0.517654509208154	2.471073764720444e-05
Gene expression	-0.25336053890088794	0.0004918922389732794
Gene expression in testis	-0.03985611694654667	0.42235468146838195
Gene expression in immune cells	0.3657711005983862	5.343296050064339e-08
Gene length	-0.024378579430817487	0.559207222295484
Gene number	-0.3996918493174076	5.9178893440314795e-05
Number PPIs	-0.04092091620747426	0.2673491996441949
Recombination rate	-2.6978292964728463	0.0
Regulatory density (DNaseI)	-0.6383384683809701	8.24227814588685e-06
Distance to VIPs	-0.26624902001224887	1.9176116250463338e-10
