covariate	slope	p_value
Intercept	-1.9243722758258393	0.0
Number iHS data points	0.07454325026024765	0.005065431191329184
Regulatory density (ChIP-seq)	0.1621298473639699	0.14738577989649992
Regulatory density in immune cells (ChIP-seq)	0.17363823945841714	0.03060535825033428
Regulatory density in testis (ChIP-seq)	-0.48873821321916694	0.0
Coding density	0.29886468335037913	0.0013194935493231474
Density of conserved elements	0.18342307409081485	0.0004455542325240147
GC-content	0.09692721838694354	0.37038850354322206
Gene expression	-0.1819413498240995	0.012839095300022363
Gene expression in testis	0.0341340277862614	0.4927444608381013
Gene expression in immune cells	0.3764825172283044	2.215425620732958e-08
Gene length	0.017604440377332928	0.6373139942038502
Gene number	-0.3345529155961342	0.0001595200738585545
Number PPIs	-0.03764653405710947	0.29202876901129093
Recombination rate	-2.1268661560145157	0.0
Regulatory density (DNaseI)	-0.27035878371969957	0.046967413542799874
Distance to VIPs	-0.216055166078307	2.5406600046018468e-08
