covariate	slope	p_value
Intercept	-36.09428899230066	0.0
Number iHS data points	0.6415048014052885	6.715201505969048e-09
Regulatory density (ChIP-seq)	-0.06588547197602979	0.7937939603009043
Regulatory density in immune cells (ChIP-seq)	0.06337165560559897	0.7859383826794017
Regulatory density in testis (ChIP-seq)	0.2418316116666101	0.07278792055896222
Coding density	0.0638680409466191	0.6489728290329704
Density of conserved elements	-0.4354788402554277	0.007741144850795578
GC-content	-0.025131768324014755	0.9161105408511369
Gene expression	-0.6218094151437007	0.00518173530976862
Gene expression in testis	0.44492879895625415	0.0008420045172149448
Gene expression in immune cells	0.5276881261019121	0.01708370804609316
Gene length	0.4173605897714985	0.001011691603878151
Gene number	-0.07797213184280347	0.3907073879966563
Number PPIs	0.22711889461466325	0.007410456175149349
Recombination rate	-58.240982747936194	0.0
Regulatory density (DNaseI)	0.38735345753495665	0.1793719095847769
Distance to VIPs	-0.2188374088492652	0.005985984937785571
