covariate	slope	p_value
Intercept	-41.47612711706687	0.0
Number iHS data points	0.558250142785672	2.9620750296999176e-13
Regulatory density (ChIP-seq)	-0.14162881632299798	0.4992920014631811
Regulatory density in immune cells (ChIP-seq)	-0.011972972664625006	0.9447208409260801
Regulatory density in testis (ChIP-seq)	-0.34116068003707384	0.011926399163600276
Coding density	-0.0037542681244928217	0.9676620695262397
Density of conserved elements	-0.02726493226400184	0.8483978607774181
GC-content	-0.03361281627037121	0.8583466555353406
Gene expression	0.1040843312630331	0.5856578385279668
Gene expression in testis	0.3428093775106793	0.0040436019681753255
Gene expression in immune cells	0.31076751890906024	0.08983425588849459
Gene length	0.04701775707867919	0.6428528327349858
Gene number	0.04592704055371264	0.7232213240215835
Number PPIs	0.07954835125733559	0.2792143120743956
Recombination rate	-52.20537600368695	0.0
Regulatory density (DNaseI)	-0.12045974142751442	0.6535306307576199
Distance to VIPs	-0.08671453313116322	0.20948578255652028
