covariate	slope	p_value
Intercept	-105.68279497687475	0.0
Number iHS data points	1.3087634576151	0.0
Regulatory density (ChIP-seq)	0.6571928617780971	0.03370004701663021
Regulatory density in immune cells (ChIP-seq)	-0.8811793175511453	0.00520612375330376
Regulatory density in testis (ChIP-seq)	0.0655319687309178	0.6689488284175248
Coding density	0.1252876896424578	0.46132906771619486
Density of conserved elements	0.01925945879489188	0.92220536763353
GC-content	-0.05688842736515194	0.7791993342695036
Gene expression	0.15863005982747955	0.5344600216819738
Gene expression in testis	0.3560511281775509	0.016520147443139566
Gene expression in immune cells	0.18133014527100697	0.44605265124808724
Gene length	0.13844718363325337	0.26422901452594494
Gene number	0.15873393182942272	0.3201726627655097
Number PPIs	0.26288759372802945	0.0037264943484804913
Recombination rate	-165.38530849931107	0.0
Regulatory density (DNaseI)	-0.3327162270900135	0.30621632859562375
Distance to VIPs	-0.08924827438075661	0.2316852945584862
